id,sentence,coarse,fine,pol,asp
0,Summary.,Structuring,Structuring.Heading,,
1,The authors empirically investigate the influence of the architecture and the capacity of an NN-model on the transferability of adversarial examples.,Structuring,Structuring.Summary,,
2,They also study the influence of the smoothness.,Structuring,Structuring.Summary,,
3,"From the obtained results, they propose the smoothed gradient attack showing improvements on the transferability of adversarial examples.",Structuring,Structuring.Summary,,
4,Pros.,Structuring,Structuring.Heading,,
5,* Robustness of neural nets is a challenging problem of interest for ICLR,Evaluative,Evaluative,P-Positive,Motivation/Impact
6,* The paper is well written,Evaluative,Evaluative,P-Positive,Clarity
7,* The experimental study is convincing,Evaluative,Evaluative,P-Positive,Substance
8,* The experimental results for the smoothed gradient attacks are promising,Evaluative,Evaluative,P-Positive,Substance
9,Cons.,Structuring,Structuring.Heading,,
10,* The results of the experimental study are somehow expected,Evaluative,Evaluative,N-Negative,Substance
11,* the idea of smoothing gradients is not new,Evaluative,Evaluative,N-Negative,Originality
12,Evaluation.,Structuring,Structuring.Heading,,
13,The experimental study of the transferability of adversarial examples is well designed.,Evaluative,Evaluative,P-Positive,Substance
14,Experimental protocol is convincing.,Evaluative,Evaluative,P-Positive,Substance
15,The smoothed gradient attacks improve many previously proposed attacks.,Evaluative,Evaluative,P-Positive,Meaningful Comparison
16,"Therefore, my opinion is rather positive. But, as a non expert in the field, I am not completely convinced by the novelty of the approach.",Evaluative,Evaluative,N-Negative,Originality
17,Some details.,Structuring,Structuring.Heading,,
18,"Typos: That l8 abstract; systems l9 intro; and l2 related work; directly evaluation l2 Section4, must has l-10 p4;",Request,Request.Typo,N-Negative,Substance
19,* the choice \sigma = 15 in Section 6.2 should be justified by the following study,Request,Request.Clarification,N-Negative,Substance
20,* \sigma is not given in Figure 3(a),Request,Request.Explanation,N-Negative,Substance
21,The reinforcement learning tasks with sparse rewards are very important and challenging.,Fact,Fact,,
22,The main idea of this work is to encourage intra-life novelty.,Fact,Fact,,
23,The authors introduce the curiosity grid and the intrinsic reward term so that the agent can explore toward unvisited states at every episode.,Fact,Fact,,
24,"However, the results are not enough to be accepted to ICLR having a very high standard.",Evaluative,Evaluative,N-Negative,Substance
25,"In Section 3, the authors compare the game scores of DeepCS proposed in this paper only against to A2C.",Evaluative,Evaluative,U-Neutral,Meaningful Comparison
26,There are some RL algorithms reported to be better than A2C.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
27,"For instance, I would like to see the comparison between DeepCS and SmartHash by Tang et al 2017.",Evaluative,Evaluative,N-Negative,Meaningful Comparison
28,=================================================================================================,,,,
29,I've read the rebuttal. I updated my score but still not vote for accept.,Structuring,Structuring.Heading,,
30,This paper is not my main research area.,Other,Other,,
31,"Very unfortunately, this paper was assigned to me.",Other,Other,,
32,The main issue of this paper is the fair comparisons with other works.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
33,"However, I don't have enough knowledges to judge this point.",Other,Other,,
34,So please assess this paper with other reviewers comments.,Other,Other,,
35,Summary:,Structuring,Structuring.Heading,,
36,This paper introduces a generative model for 3D point clouds.,Structuring,Structuring.Summary,,
37,"Authors aim at theoretically showing the difficulties of using existing generative models to learn distributions of point clouds, and propose a variant that supposedly solves the issues.",Structuring,Structuring.Summary,,
38,Pros:,Structuring,Structuring.Heading,,
39,+ The problem of designing generative models for 3D data is important.,Evaluative,Evaluative,P-Positive,Motivation/Impact
40,Cons:,Structuring,Structuring.Heading,,
41,"- Paper is often hard to follow, and contains a significant number of typos.",Evaluative,Evaluative,N-Negative,Clarity
42,"- Authors claim to identify a fundamental problem with the existing generative models for point clouds, yet Section 2 tries to show that a _specific version_ that uses DeepSet does not satisfy theoretical guarantees. What if we use e.g. a recurrent network instead?",Request,Request.Explanation,N-Negative,Soundness/Correctness
43,"As is, the counter example proof itself is quite confusing: it would really help if the proof was more formal.",Evaluative,Evaluative,N-Negative,Clarity
44,"- Jointly learning an inference network (Q) has certainly been done before, and I am not sure authors provide an elaborate enough explanation of what is the difference with adversarially learned inference /  adversarial feature learning.",Evaluative,Evaluative,N-Negative,Meaningful Comparison
45,- It is not clear why authors did not follow the evaluation protocol of [Achlioptas’17] or [Wu’16] more closely.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
46,"In particular, evaluation for the classification task should be compatible with the proposed model, which would give a much better picture of the learned representations.",Fact,Fact,,
47,This paper proposes use of intra-life coverage (an agent must visit all locations within each episode) for effective exploration in Atari games.,Structuring,Structuring.Summary,,
48,This is in contrast of approaches that use inter-life coverage or curiosity metrics to incentivize exploration.,Structuring,Structuring.Summary,,
49,"The paper shows detailed results and analysis on 2 Atari games: Montezuma’s Revenge and Seaquest, and reports results on other games as well.",Structuring,Structuring.Summary,,
50,Strengths,Structuring,Structuring.Heading,,
51,"1. Intuitively, the idea of intra-life curiosity is reasonable.",Evaluative,Evaluative,P-Positive,Soundness/Correctness
52,The paper pursues this idea and provides experimental evidence towards it on 2 Atari games.,Structuring,Structuring.Summary,,
53,It is able to show compelling improvements on the challenging Montezuma’s Revenge game.,Evaluative,Evaluative,P-Positive,Substance
54,Weaknesses,Structuring,Structuring.Heading,,
55,1. The two primary comparison points are missing:,Structuring,Structuring.Heading,,
56,1a. Comparison to other exploration methods.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
57,"A number of methods that use state visitation counts (also referred to as diversity, eg. [A,B]), or prediction error (also referred to as curiosity, eg [C]) have been proposed in recent years.",Fact,Fact,,
58,It is important to place the contributions in this paper in context of these other works.,Request,Request.Experiment,N-Negative,Meaningful Comparison
59,A number of these references are missing and no experimental comparison to these methods has been made.,Evaluative,Evaluative,N-Negative,Meaningful Comparison
60,1b. Comparison between inter and intra life curiosity.,Structuring,Structuring.Heading,,
61,"One of the central motivation is the utility of intra-life curiosity vs inter-life curiosity, yet no comparisons to this effect have been provided.",Evaluative,Evaluative,N-Negative,Substance
62,2.,Other,Other,,
63,"Additionally, the paper employs a custom way of computing coverage (or diversity).",Fact,Fact,,
64,"It is in terms of location of agent on the screen, as opposed to featurization of the full game screen as used in prior works.",Fact,Fact,,
65,It is possible that a large part of the gain comes from the clever design of the space for computing intrinsic exploration reward.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
66,"The paper tries to control for it, however that description is rather short and vague (not clear how the proposed reward is computed without there being a grid, or how is the grid useful without the intrinsic reward).",Evaluative,Evaluative,N-Negative,Soundness/Correctness
67,"More details should be provided, and when comparisons to past works or inter-life curiosity are made, this should be controlled for.",Request,Request.Experiment,N-Negative,Substance
68,"The two ideas (use of grids, and intra-life curiosity vs inter-life curiosity) should be independently investigated and put in context of past work.",Request,Request.Experiment,N-Negative,Substance
69,3. I will encourage investigation on a more varied set of tasks.,Request,Request.Experiment,N-Negative,Substance
70,"Perhaps, also using some MuJoCo environments, or 3D navigation environments.",Request,Request.Experiment,N-Negative,Substance
71,"Table 1 tries to provide some comparisons on Atari, however number of samples is different for different methods making the comparisons invalid.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
72,"Additionally, all of these are still on Atari.",Fact,Fact,,
73,"[A] Diversity is All You Need: Learning Skills without a Reward Function Benjamin Eysenbach, Abhishek Gupta, Julian Ibarz, Sergey Levine",Other,Other,,
74,"[B] EX2: Exploration with Exemplar Models for Deep Reinforcement Learning Justin Fu, John D. Co-Reyes, Sergey Levine",Other,Other,,
75,"[C] Curiosity-driven Exploration by Self-supervised Prediction Deepak Pathak, Pulkit Agrawal, Alexei A. Efros and Trevor Darrell International Conference on Machine Learning (ICML), 2017",Other,Other,,
76,"Privacy concerns arise when data is shared with third parties, a common occurrence.",Fact,Fact,,
77,"This paper proposes a privacy-preserving classification framework that consists of an encoder that extracts features from data, a classifier that performs the actual classification, and a decoder that tries to reconstruct the original data.",Structuring,Structuring.Summary,,
78,"In a mobile computing setting, the encoder is deployed at the client side and the classification is performed on the server side which accesses only the output features of the encoder.",Structuring,Structuring.Summary,,
79,The adversarial training process guarantees good accuracy of the classifier while there is no decoder being able to reconstruct the original input sample accurately.,Structuring,Structuring.Summary,,
80,Experimental results are provided to confirm the usefulness of the algorithm.,Structuring,Structuring.Summary,,
81,"The problem of privacy-preserving learning is an important topic and the paper proposes an interesting framework for that. However, I think it needs to provide more solid evaluations of the proposed algorithm, and presentation also need to be improved a bit.",Evaluative,Evaluative,N-Negative|P-Positive,Motivation/Impact|Substance
82,Detailed comments:,Structuring,Structuring.Heading,,
83,I don’t see a significant difference between RAN and DNN in Figure 5. Maybe more explanation or better visualization would help.,Evaluative,Evaluative,N-Negative,Substance
84,The decoder used to measure privacy is very important. Can you provide more detail about the decoders used in all the four cases?,Request,Request.Explanation,U-Neutral,Clarity
85,"If possible, evaluating the privacy with different decoders may provide a stronger evidence for the proposed method.",Request,Request.Experiment,U-Neutral,Substance
86,It seems that DNN(resized) is a generalization of DNN.,Fact,Fact,,
87,"If so, by changing the magnitude of noise and projection dimensions for PCA should give a DNN(resized) result (in Figure 3) that is close to DNN.",Fact,Fact,,
88,"If the two NNs used in DNN and DNN(resized) are different, I believe it’s still possible to apply the algorithm in DNN(resized) to the NN used in DNN, and get a full trace in the figure as noise and projection changes, which would lead to more fair comparison.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
89,The abstract mentioned that the proposed algorithm works as an “implicit regularization leading to better classification accuracy than the original model which completely ignores privacy”. But I don’t see clearly from the experimental results how the accuracy compares to a non-private classifier.,Evaluative,Evaluative,N-Negative,Soundness/Correctness
90,Section 2.2 mentioned how different kind of layers would help with the encoder’s utility and privacy. It would be better to back up the argument with some experiments.,Request,Request.Experiment,N-Negative,Substance
91,I think it needs to be made clearer how reconstruction error works as a measure of privacy.,Request,Request.Edit,N-Negative,Clarity
92,"For example, an image which is totally unreadable for human eye might still leak sensitive information when fed into a machine learning model.",Fact,Fact,,
93,"In term of reference, it’s better to cite more articles with different kind of privacy attacks for how raw data can cause privacy risks.",Request,Request.Edit,U-Neutral,Meaningful Comparison
94,"For the “Noisy Data” method, it’s better to cite more articles on differential privacy and local differential privacy.",Request,Request.Edit,U-Neutral,Meaningful Comparison
95,"Some figures, like Figure 3 and 4, are hard to read.",Evaluative,Evaluative,N-Negative,Clarity
96,"The author may consider making the figures larger (maybe with a 2 by 2 layout), adjusting the position of the legend & scale of x-axis for Figure 3, and using markers with different colors for Figure 4.",Request,Request.Edit,U-Neutral,Clarity
97,"For the task of predicting interaction contact among atoms of protein complex consisting of two interacting proteins, the authors propose to train a Siamese convolutional neural network, noted as SASNet, and to use the contact map of two binding proteins’ native structure.",Structuring,Structuring.Summary,,
98,The authors claim that the proposed method outperforms methods that use hand crafted features; also the authors claim that the proposed method has better transferability.,Structuring,Structuring.Summary,,
99,"My overall concern is that the experiment result doesn’t really fully support the claim in the two aspects: 1) the SASNet takes the enriched dataset as input to the neural net but it also uses the complex (validation set) to train the optimal parameters, so strictly it doesn’t really fit in the “transfer” learning scenario.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
100,"Also, the compared methods don’t really use the validation set from the complex data for training at all.",Evaluative,Evaluative,N-Negative,Substance
101,Thus the experiment comparison is not really fair.,Evaluative,Evaluative,N-Negative,Substance
102,"2) The experiment results include standard errors for different replicates where such replicates correspond to different training random seeds (or different samples from the enriched set?), however, it doesn’t include any significance of the sampling.",Evaluative,Evaluative,N-Negative,Soundness/Correctness
103,"Specifically, the testing dataset is fixed.",Fact,Fact,,
104,"A more rigorous setting is to, for N runs, each run splitting the validation and testing set differently.",Request,Request.Experiment,U-Neutral,Substance
105,"Since this paper is an application paper, rather than a theoretical paper that bears theoretical findings, I would expect much more thorough experimental setup and analysis.",Request,Request.Experiment,N-Negative,Substance
106,"Currently it is still missing discussion such as, when SASNet would perform better and when it would perform worse, what it is that the state of the art features can’t capture while SASNet can.",Request,Request.Experiment,N-Negative,Substance
107,"Moreover, it is the prediction performance that matters to such task, but the authors remove the non-structure features from the compared methods.",Evaluative,Evaluative,N-Negative,Meaningful Comparison
108,"Results and discussion about how the previous methods with full features perform compared to SASNet, and also how we can include those features into SASNet should complete the paper.",Evaluative,Evaluative,N-Negative,Substance
109,"Overall the paper is well written, and I do think the paper could be much stronger the issues above are addressed.",Evaluative,Evaluative,P-Positive,Clarity
110,Some minor issues:,Structuring,Structuring.Heading,,
111,"1)	on page 4, Section 3, the first paragraph, shouldn’t “C_p^{val} of 55” be “C_p^{test} of 55”?",Request,Request.Typo,U-Neutral,Clarity
112,2)	It is not clear what the “replicates” refer to in the experiments.,Request,Request.Clarification,U-Neutral,Substance
113,3)	Some discussion on why the “SASNet ensemble” would yield better performance would be good; could it be overfitting?,Request,Request.Clarification,U-Neutral,Substance
114,"This paper presents a method for interactive agent modeling that involves learning to model a demonstrator agent not only through passively viewing the demonstrator agent, but also through interactions from a learner agent that learns to probe the environment of the demonstrator agent so as to maximally change the behavior of the demonstrator agent.",Structuring,Structuring.Summary,,
115,The approximated demonstrator agent is trained through standard imitation learning techniques and the learning or probing agent is trained using reinforcement learning.,Structuring,Structuring.Summary,,
116,The mind of the demonstrating agent is modeled as a latent space representation from a neural net.,Structuring,Structuring.Summary,,
117,This latent space representation is used as the reinforcement learning signal for the learner (probing) agent similar to the curiosity driven techniques where larger changes in the representation of mind are sought out since they should lead to larger differences in demonstrator agent behavior.,Structuring,Structuring.Summary,,
118,The authors test this in several gridworld environments as well as a sorting task and show that their method achieves superior performance and generalizes better to unseen states and task variations compared to several baseline methods.,Structuring,Structuring.Summary,,
119,"General comments, in no particular order:",Structuring,Structuring.Heading,,
120,1. The authors should provide more details on how the hand-crafted demonstrator agents were made.,Request,Request.Explanation,N-Negative,Replicability
121,"I assume something similar to an a* algorithm was probably used for the passing task, but what about the maze navigation task?",Request,Request.Explanation,N-Negative,Replicability
